county,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,lat,lon
Alameda,1465564,1468468,1467187,1465540,1459882,1464839,1476401,1491781,1503827,1515338,1531942,1554446,1575797,1599685,1619679,37.6017,-121.7195
Alpine,1237,1248,1249,1266,1208,1255,1248,1208,1180,1175,1170,1166,1164,1163,1157,38.5941,-119.8815
Amador,35784,36535,36776,37147,37722,37964,38085,37864,37905,38069,37894,37746,37582,37447,37314,38.3489,-120.7741
Butte,205730,208154,210623,212212,213698,215684,217115,218485,219287,220157,220551,221797,222229,223899,224363,39.6254,-121.537
Calaveras,41428,42119,43186,43924,44773,45316,45638,45702,45562,45535,45414,45305,45116,45009,44899,38.196,-120.6805
Colusa,19068,19391,19685,20184,20565,20893,21119,21172,21270,21465,21626,21781,21972,22139,22271,39.1041,-122.2654
Contra Costa,970496,978795,989705,998201,1004230,1010104,1021251,1033292,1043501,1051525,1063877,1075665,1089656,1102941,1116882,37.8534,-121.9018
Del Norte,27418,27615,27871,28187,28315,28276,28480,28571,28559,28387,28213,27996,27543,27235,27119,41.7076,-123.966
El Dorado,161880,164725,167670,170304,173181,175258,177195,178599,179701,180975,180837,181098,182280,182547,183140,38.7426,-120.4358
Fresno,815003,828637,845917,860226,871910,886376,899826,913239,923895,932628,942076,950634,959506,969410,979357,36.9859,-119.2321
Glenn,26611,26792,27156,27264,27525,27731,28013,28120,28056,28182,28374,28508,28684,28828,28960,39.6438,-122.4467
Humboldt,127348,128755,130179,131243,131689,132226,132657,133201,133766,134929,135332,134840,134923,134730,135090,40.745,-123.8695
Imperial,144726,147185,150909,153937,157657,162532,166894,170104,173241,175107,177718,179414,180300,183179,185328,33.0114,-115.4734
Inyo,18207,18415,18507,18559,18463,18421,18447,18383,18448,18539,18536,18569,18585,18626,18640,36.3092,-117.5496
Kern,679674,696504,717797,740022,761972,786220,805798,819891,831134,841887,849934,858271,868594,876668,883327,35.4937,-118.8597
Kings,132441,134664,138772,142617,144601,147496,150378,151834,151794,152175,151382,149973,150276,149433,149702,36.0988,-119.8815
Lake,60046,61005,61981,62633,63107,63792,63986,64370,64396,64905,64745,64839,64781,65191,65180,39.084,-122.8084
Lassen,33650,33603,34053,34574,34528,35011,35749,35120,34773,34869,34519,33011,32295,31841,30969,40.5394,-120.712
Los Angeles,9635795,9722444,9791022,9822508,9809557,9787327,9773894,9796812,9805233,9837011,9900858,9988287,10055477,10124684,10185487,34.0522,-118.2437
Madera,126456,128484,132814,136488,139868,143528,146806,149114,150151,150193,151491,150814,152235,154181,154956,37.2519,-119.6963
Marin,247731,247382,247280,246684,246686,247247,248802,250288,251230,252185,254389,255765,258569,261033,262105,38.0834,-122.7633
Mariposa,17269,17461,17764,17872,18057,18244,18376,18385,18281,18245,18237,18223,18154,18127,18088,37.4894,-119.9679
Mendocino,87140,87507,88017,88239,88016,87584,87646,87782,87569,87661,87236,87976,88064,88523,88429,39.55,-123.4384
Merced,217319,222733,229182,235549,240600,245555,249538,251932,254123,256803,260072,262919,264783,267714,269729,37.201,-120.712
Modoc,9434,9400,9511,9602,9588,9639,9590,9623,9632,9689,9686,9634,9603,9564,9507,41.4565,-120.6294
Mono,13213,13383,13574,13726,13799,14151,14212,14073,14075,14017,14283,14122,13902,13924,13818,37.9219,-118.9529
Monterey,406264,408599,411941,411121,407974,405877,407896,410877,413590,414915,419417,423881,426453,429797,436242,36.3136,-121.3542
Napa,126188,127942,129422,130204,130740,131920,133155,134786,135664,136237,137232,138655,139298,140646,141546,38.5025,-122.2654
Nevada,93515,94580,95974,97107,97802,98334,98480,98680,98432,98517,98392,98068,97727,98354,98190,39.1347,-121.171
Orange,2889908,2914438,2939719,2956482,2957151,2955433,2965823,2982788,2998816,3014962,3048993,3084036,3110802,3137744,3161218,33.7175,-117.8311
Placer,264925,276817,290655,302815,312630,322270,329719,337914,344088,350052,355482,359890,364242,368211,370738,39.0916,-120.8039
Plumas,20706,20695,20747,20899,20859,20710,20596,20368,20063,19982,19927,19883,19769,19692,19586,39.9927,-120.8039
Riverside,1622454,1688407,1772427,1856879,1934723,2017350,2082656,2122920,2158399,2196137,2228044,2253317,2276765,2305796,2329256,33.9533,-117.3961
Sacramento,1265767,1293483,1320963,1342899,1358168,1372275,1388086,1400939,1411403,1421628,1433792,1445230,1455602,1473817,1489952,38.4747,-121.3542
San Benito,54696,55199,55458,55287,55153,54895,55000,55043,55093,55401,55894,56333,56750,57166,57584,36.5761,-120.9876
San Bernardino,1763780,1800849,1850075,1900210,1942734,1976767,2002651,2016526,2022319,2044228,2064734,2077560,2092149,2111913,2129851,34.9592,-116.4194
San Diego,2870096,2910445,2943961,2963390,2970135,2982816,3014165,3051262,3077633,3100529,3135806,3174446,3208946,3248547,3275084,32.7157,-117.1611
San Francisco,782223,783255,781870,780699,779655,782928,791334,798673,801799,809174,819897,832605,843735,853732,863108,37.7749,-122.4194
San Joaquin,588581,603544,621108,638522,651625,660885,669737,675248,680421,687827,694200,700414,705767,717238,727547,37.9176,-121.171
San Luis Obispo,251652,253549,255609,258483,259943,261803,264162,266850,268224,269013,270344,272608,273494,276075,276844,35.3102,-120.4358
San Mateo,707460,704897,703062,701401,699277,699398,704272,711374,716264,720496,729292,740568,748761,756371,764379,37.4337,-122.4014
Santa Barbara,403442,406132,409512,411190,411683,412853,416648,419970,422423,423552,425335,430287,435241,440129,444900,34.4208,-119.6982
Santa Clara,1693171,1693162,1694211,1696919,1699521,1713839,1736327,1759534,1774890,1790301,1813860,1840218,1866208,1890929,1915102,37.3337,-121.8907
Santa Cruz,256166,255590,255122,254836,254725,255486,257601,259873,261912,262341,265183,267672,270416,271689,274697,37.0454,-121.958
Shasta,167034,169578,171987,173469,174254,175238,175849,176629,176881,177062,177455,177962,178725,179251,178777,40.7909,-121.8474
Sierra,3587,3564,3545,3467,3430,3424,3344,3284,3243,3233,3216,3206,3187,3161,3147,39.5533,-120.2513
Siskiyou,44275,44384,44597,44785,44945,44891,44862,45041,44950,44862,44792,44765,44652,44606,44500,41.7743,-122.577
Solano,402968,406816,408929,411389,410570,411351,412636,413167,412488,412573,414648,417443,420701,425430,429267,38.3105,-121.9018
Sonoma,465423,465998,468257,469933,469524,469967,472987,476650,480598,483844,486830,489752,494416,497908,501182,38.578,-122.9888
Stanislaus,463128,473580,483007,490283,498020,503548,508372,510396,512052,515888,518812,523596,527687,531720,538372,37.5091,-120.9876
Sutter,80240,81936,84108,86092,88106,90628,92502,93465,94372,94859,95458,96047,96540,97101,97618,39.022,-121.6739
Tehama,56465,57281,58415,59493,60461,61542,62011,62720,63122,63505,63621,63711,63731,63845,63970,40.0982,-122.1746
Trinity,12963,13159,13388,13519,13789,13823,13787,13730,13771,13779,13733,13704,13667,13613,13562,40.6329,-123.0623
Tulare,374152,381194,390370,399913,408403,416092,423608,431471,438408,442551,447493,452135,455854,459831,463291,36.1342,-118.8597
Tuolumne,55326,55910,56442,56369,56452,56558,56133,56060,55258,55350,55190,55033,54894,54683,54525,38.0297,-119.9741
Ventura,768991,779894,789367,795046,796867,801225,805911,812028,818546,824467,831450,836553,842639,847885,852013,34.3705,-119.1391
Yolo,175102,179271,182331,185707,187354,190809,194854,197589,199697,202352,203025,205408,208194,209834,212686,38.7646,-121.9018
Yuba,61426,62738,63962,65249,67712,69218,70221,71422,71796,72315,73015,73704,74352,74975,75579,39.2547,-121.3999
