county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,lat,lon
Alameda,14,45,4,47,3,54,51,24,37,13,8,68,137,419,189,37.6017,-121.7195
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5941,-119.8815
Amador,1,0,0,5,2,4,0,0,4,4,11,1,2,1,2,38.3489,-120.7741
Butte,0,9,1,8,12,4,3,2,3,32,16,3,33,33,8,39.6254,-121.537
Calaveras,2,1,1,1,4,9,0,13,6,9,5,0,2,17,1,38.196,-120.6805
Colusa,0,0,0,0,0,1,0,1,1,11,1,0,0,0,4,39.1041,-122.2654
Contra Costa,11,15,11,10,56,28,25,22,20,205,114,24,69,474,181,37.8534,-121.9018
Del Norte,1,0,1,0,1,0,0,0,0,16,0,0,0,2,0,41.7076,-123.966
El Dorado,16,19,10,20,16,12,2,1,2,54,11,3,4,36,27,38.7426,-120.4358
Fresno,17,68,14,18,631,100,33,19,34,550,58,16,43,392,57,36.9859,-119.2321
Glenn,0,0,0,1,1,1,1,0,0,1,1,0,0,1,2,39.6438,-122.4467
Humboldt,4,10,0,8,64,17,1,4,14,58,15,1,5,148,56,40.745,-123.8695
Imperial,1,1,3,3,4,1,2,0,0,9,3,8,3,10,10,33.0114,-115.4734
Inyo,1,0,0,0,15,10,0,1,0,8,0,1,0,0,0,36.3092,-117.5496
Kern,7,18,15,38,60,45,5,8,8,376,49,2,30,167,146,35.4937,-118.8597
Kings,1,2,2,0,5,1,0,0,8,26,6,0,2,16,6,36.0988,-119.8815
Lake,0,1,3,0,0,7,3,0,0,5,3,2,3,3,6,39.084,-122.8084
Lassen,0,1,0,1,1,0,0,2,0,1,0,0,0,5,0,40.5394,-120.712
Los Angeles,14,11,7,11,7,61,70,44,90,24,15,216,365,2206,1184,34.0522,-118.2437
Madera,2,3,2,4,83,11,2,1,8,120,8,0,10,47,6,37.2519,-119.6963
Marin,4,15,2,24,13,41,14,14,14,351,26,5,183,273,53,38.0834,-122.7633
Mariposa,0,2,0,0,6,1,0,0,0,10,1,0,0,0,0,37.4894,-119.9679
Mendocino,1,3,3,2,19,5,3,1,5,27,3,1,6,10,9,39.55,-123.4384
Merced,0,8,2,4,16,20,4,3,7,131,27,0,1,9,13,37.201,-120.712
Modoc,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,41.4565,-120.6294
Mono,0,0,0,0,0,0,0,0,0,18,2,21,2,0,0,37.9219,-118.9529
Monterey,8,6,6,50,30,9,18,4,15,132,38,17,49,129,76,36.3136,-121.3542
Napa,2,3,3,1,6,2,2,1,14,25,11,6,13,137,49,38.5025,-122.2654
Nevada,5,7,11,19,22,20,11,4,1,23,2,5,71,16,3,39.1347,-121.171
Orange,36,93,82,107,108,55,30,29,93,499,142,73,113,447,162,33.7175,-117.8311
Placer,16,51,38,16,19,26,6,9,7,80,19,11,83,120,49,39.0916,-120.8039
Plumas,0,0,0,0,0,2,0,0,0,2,4,0,1,1,2,39.9927,-120.8039
Riverside,10,25,13,23,64,40,14,14,57,467,166,46,80,469,182,33.9533,-117.3961
Sacramento,36,125,91,94,133,175,20,23,27,175,69,34,71,446,286,38.4747,-121.3542
San Benito,1,0,0,1,3,3,6,1,4,7,3,1,1,11,7,36.5761,-120.9876
San Bernardino,14,18,20,27,34,13,7,8,18,182,115,54,38,206,91,34.9592,-116.4194
San Diego,100,218,98,114,377,138,48,53,163,1140,398,161,408,2019,895,32.7157,-117.1611
San Francisco,9,6,14,27,45,29,17,10,17,141,71,30,59,131,69,37.7749,-122.4194
San Joaquin,12,12,5,10,14,36,10,8,6,84,28,15,26,214,81,37.9176,-121.171
San Luis Obispo,0,0,1,1,114,33,16,13,5,371,15,14,17,45,21,35.3102,-120.4358
San Mateo,11,15,23,60,46,47,16,17,11,191,58,23,104,128,40,37.4337,-122.4014
Santa Barbara,3,11,4,11,29,18,7,3,37,66,18,11,29,120,66,34.4208,-119.6982
Santa Clara,44,64,38,58,166,94,66,26,34,478,175,45,253,537,149,37.3337,-121.8907
Santa Cruz,33,34,54,21,35,46,11,15,39,87,22,13,54,166,79,37.0454,-121.958
Shasta,2,0,1,5,3,4,5,1,2,32,27,2,7,33,15,40.7909,-121.8474
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5533,-120.2513
Siskiyou,0,0,0,0,0,2,0,4,0,10,0,2,5,7,6,41.7743,-122.577
Solano,10,1,60,18,2,2,2,4,8,40,12,10,15,144,42,38.3105,-121.9018
Sonoma,30,25,18,8,70,69,27,27,18,246,116,18,51,704,34,38.578,-122.9888
Stanislaus,5,19,29,12,112,65,7,6,16,159,43,11,16,92,38,37.5091,-120.9876
Sutter,1,1,4,0,0,1,0,1,1,5,1,0,2,8,2,39.022,-121.6739
Tehama,1,0,0,0,0,0,0,2,0,10,1,0,0,38,5,40.0982,-122.1746
Trinity,9,0,0,0,2,0,0,0,0,0,0,0,0,6,6,40.6329,-123.0623
Tulare,4,14,3,5,42,49,6,8,14,230,77,27,25,37,86,36.1342,-118.8597
Tuolumne,1,0,0,0,2,0,0,3,1,32,4,1,2,16,9,38.0297,-119.9741
Ventura,36,44,30,28,66,25,4,4,45,372,162,15,37,347,107,34.3705,-119.1391
Yolo,2,111,104,6,16,51,5,2,2,17,5,6,4,147,83,38.7646,-121.9018
Yuba,1,2,4,2,2,0,0,0,0,3,0,1,4,10,3,39.2547,-121.3999
